date,blood_type,demand,hospital_license_number,notes
2024-01-01,O+,31,,Public holiday: New Year's Day
2024-01-01,A+,25,,Public holiday: New Year's Day
2024-01-01,B+,15,,Public holiday: New Year's Day
2024-01-01,O-,11,,Public holiday: New Year's Day
2024-01-01,A-,7,,Public holiday: New Year's Day
2024-01-01,B-,4,,Public holiday: New Year's Day
2024-01-01,AB+,4,,Public holiday: New Year's Day
2024-01-01,AB-,1,,Public holiday: New Year's Day
2024-01-02,O+,35,,
2024-01-02,A+,29,,
2024-01-02,B+,18,,
2024-01-02,O-,13,,
2024-01-02,A-,9,,
2024-01-02,B-,6,,
2024-01-02,AB+,4,,
2024-01-02,AB-,0,,
2024-01-03,O+,37,,
2024-01-03,A+,33,,
2024-01-03,B+,17,,
2024-01-03,O-,11,,
2024-01-03,A-,9,,
2024-01-03,B-,4,,
2024-01-03,AB+,4,,
2024-01-03,AB-,2,,
2024-01-04,O+,36,,
2024-01-04,A+,25,,
2024-01-04,B+,16,,
2024-01-04,O-,11,,
2024-01-04,A-,9,,
2024-01-04,B-,4,,
2024-01-04,AB+,4,,
2024-01-04,AB-,0,,
2024-01-05,O+,15,,
2024-01-05,A+,18,,
2024-01-05,B+,10,,
2024-01-05,O-,9,,
2024-01-05,A-,7,,
2024-01-05,B-,3,,
2024-01-05,AB+,4,,
2024-01-05,AB-,0,,
2024-01-06,O+,21,,
2024-01-06,A+,16,,
2024-01-06,B+,10,,
2024-01-06,O-,8,,
2024-01-06,A-,6,,
2024-01-06,B-,4,,
2024-01-06,AB+,3,,
2024-01-06,AB-,1,,
2024-01-07,O+,20,,
2024-01-07,A+,16,,
2024-01-07,B+,10,,
2024-01-07,O-,8,,
2024-01-07,A-,5,,
2024-01-07,B-,6,,
2024-01-07,AB+,2,,
2024-01-07,AB-,0,,
2024-01-08,O+,33,,
2024-01-08,A+,28,,
2024-01-08,B+,15,,
2024-01-08,O-,11,,
2024-01-08,A-,9,,
2024-01-08,B-,5,,
2024-01-08,AB+,2,,
2024-01-08,AB-,1,,
2024-01-09,O+,40,,
2024-01-09,A+,25,,
2024-01-09,B+,18,,
2024-01-09,O-,12,,
2024-01-09,A-,8,,
2024-01-09,B-,7,,
2024-01-09,AB+,5,,
2024-01-09,AB-,4,,
2024-01-10,O+,40,,
2024-01-10,A+,28,,
2024-01-10,B+,17,,
2024-01-10,O-,11,,
2024-01-10,A-,10,,
2024-01-10,B-,6,,
2024-01-10,AB+,4,,
2024-01-10,AB-,2,,
2024-01-11,O+,30,,
2024-01-11,A+,25,,
2024-01-11,B+,12,,
2024-01-11,O-,9,,
2024-01-11,A-,7,,
2024-01-11,B-,6,,
2024-01-11,AB+,5,,
2024-01-11,AB-,1,,
2024-01-12,O+,26,,
2024-01-12,A+,20,,
2024-01-12,B+,14,,
2024-01-12,O-,9,,
2024-01-12,A-,6,,
2024-01-12,B-,3,,
2024-01-12,AB+,4,,
2024-01-12,AB-,1,,
2024-01-13,O+,24,,
2024-01-13,A+,15,,
2024-01-13,B+,13,,
2024-01-13,O-,6,,
2024-01-13,A-,6,,
2024-01-13,B-,3,,
2024-01-13,AB+,2,,
2024-01-13,AB-,0,,
2024-01-14,O+,20,,
2024-01-14,A+,21,,
2024-01-14,B+,11,,
2024-01-14,O-,7,,
2024-01-14,A-,3,,
2024-01-14,B-,4,,
2024-01-14,AB+,3,,
2024-01-14,AB-,0,,
2024-01-15,O+,23,,
